"","sample","lib","coverage","ctrl_cover","all","mapped","controls","mapped_other_lib","unmapped","unmapped_bad_len"
"1","16-12-E2-1_S17","even2",83.2782971951462,50,7600221,4916153,3499,5122,663617,81558
"2","16-12-E2-1b_S21","even2",82.2597970956833,69.2307692307692,7191463,4673183,3254,3929,606339,72641
"3","16-12-E2-1br_S45","even2",84.0501293017704,57.6923076923077,7308506,4733043,3220,3645,606319,72921
"4","16-12-E2-1r_S41","even2",80.5390889198329,76.9230769230769,6875908,4415133,3267,3356,546571,66446
"5","16-12-E2-2_S18","even2",93.7139446986274,88.4615384615385,9603271,6138622,3057,5108,853458,115359
"6","16-12-E2-2b_S22","even2",83.3857171275114,65.3846153846154,5925908,3848527,1813,1262,426501,55922
"7","16-12-E2-2br_S46","even2",87.1334792122538,80.7692307692308,6581580,4223883,2156,1727,478021,63017
"8","16-12-E2-2r_S42","even2",87.4497712353292,80.7692307692308,6509983,4244850,2054,1703,475102,60829
"9","16-12-E2-3_S19","even2",93.3101253232544,80.7692307692308,8174729,5302403,1662,3337,678306,89507
"10","16-12-E2-3b_S23","even2",86.0334195345136,65.3846153846154,5793647,3679907,1291,1215,381793,48601
"11","16-12-E2-3br_S47","even2",89.5862343345932,65.3846153846154,6464649,4195671,1417,1949,470169,59779
"12","16-12-E2-3r_S43","even2",87.7242888402626,61.5384615384615,6122106,4003158,1282,1330,434816,55944
"13","16-12-E2-4_S20","even2",85.8185796697832,65.3846153846154,7678093,4984962,2065,5409,686171,94221
"14","16-12-E2-4b_S24","even2",84.6588422518401,73.0769230769231,7192550,4686428,1985,4398,616058,81453
"15","16-12-E2-4br_S48","even2",82.2259797095683,57.6923076923077,6413133,4206675,1786,3082,512325,66425
"16","16-12-E2-4r_S44","even2",81.3666202506465,61.5384615384615,6672426,4349023,1713,3506,556080,72451
"17","16-12-I-CT1-1_S49","ct1",96.055906567107,92.3076923076923,968321,652541,5254,10,99947,12901
"18","16-12-I-CT1-1b_S53","ct1",96.994064713766,92.3076923076923,1224315,816953,7095,11,136023,16148
"19","16-12-I-CT1-1br_S61","ct1",95.9793222286042,92.3076923076923,1044995,699375,6004,15,105817,12675
"20","16-12-I-CT1-1r_S57","ct1",96.5154125981237,92.3076923076923,1058185,714021,6217,45,113234,14372
"21","16-12-I-CT1-2_S50","ct1",96.1133448209841,92.3076923076923,943306,625458,5888,17,93251,14320
"22","16-12-I-CT1-2b_S54","ct1",97.3195481524028,92.3076923076923,1123831,748258,7283,20,122723,19143
"23","16-12-I-CT1-2br_S62","ct1",87.3061458931648,92.3076923076923,622537,413746,4127,0,50833,8445
"24","16-12-I-CT1-2r_S58","ct1",98.7555044993299,92.3076923076923,1204073,804078,7456,10,127801,19255
"25","16-12-I-CT1-3_S51","ct1",97.4152785755313,92.3076923076923,905240,609176,3497,5,89626,11983
"26","16-12-I-CT1-3b_S55","ct1",98.6406279915757,92.3076923076923,1216044,819247,4523,15,129779,17534
"27","16-12-I-CT1-3br_S63","ct1",97.6641776756653,92.3076923076923,921654,620126,3414,0,87021,12102
"28","16-12-I-CT1-3r_S59","ct1",95.8644457208501,92.3076923076923,804841,539279,2982,27,73986,10250
"29","16-12-I-CT1-4_S52","ct1",97.8939306911737,92.3076923076923,1274366,864331,7346,11,141455,16191
"30","16-12-I-CT1-4b_S56","ct1",97.7216159295424,92.3076923076923,1265211,850742,7153,21,140712,16277
"31","16-12-I-CT1-4br_S64","ct1",93.8541068351522,92.3076923076923,939940,635529,5313,5,94875,10685
"32","16-12-I-CT1-4r_S60","ct1",96.6877273597549,92.3076923076923,1010302,680696,5506,0,100949,11629
"33","16-12-II-CT1-1_S49","ct1",93.0882634501245,92.3076923076923,804785,559700,7131,5,79760,9879
"34","16-12-II-CT1-1b_S53","ct1",89.0292935094773,92.3076923076923,763688,531260,4371,0,72017,9179
"35","16-12-II-CT1-1br_S61","ct1",94.9454336588168,92.3076923076923,1038538,725055,6274,6,111395,14639
"36","16-12-II-CT1-1r_S57","ct1",92.3990044035995,92.3076923076923,762705,533326,4231,0,70832,8965
"37","16-12-II-CT1-2_S50","ct1",96.3430978364924,92.3076923076923,847921,587751,5566,6,82207,13176
"38","16-12-II-CT1-2b_S54","ct1",94.179590273789,92.3076923076923,797385,551979,5174,0,75469,12308
"39","16-12-II-CT1-2br_S62","ct1",89.1250239326058,92.3076923076923,636607,442180,4138,0,54224,9173
"40","16-12-II-CT1-2r_S58","ct1",94.2178824430404,92.3076923076923,757092,525192,5110,6,69240,11340
"41","16-12-II-CT1-3_S51","ct1",95.9218839747272,92.3076923076923,808720,563546,3176,0,77265,11177
"42","16-12-II-CT1-3b_S55","ct1",97.7599080987938,92.3076923076923,956010,664125,3487,0,97121,13671
"43","16-12-II-CT1-3br_S63","ct1",95.8644457208501,92.3076923076923,804260,560662,2952,0,75264,10969
"44","16-12-II-CT1-3r_S59","ct1",95.8452996362244,92.3076923076923,794967,553570,3404,5,77244,10746
"45","16-12-II-CT1-4_S52","ct1",94.3136128661689,92.3076923076923,936752,659916,5486,11,97747,11704
"46","16-12-II-CT1-4b_S56","ct1",91.0779245644266,92.3076923076923,813419,573001,4840,0,80309,9425
"47","16-12-II-CT1-4br_S64","ct1",86.233965154126,92.3076923076923,716195,504532,4211,0,66378,7624
"48","16-12-II-CT1-4r_S60","ct1",94.6965345586828,92.3076923076923,955310,671247,5429,0,99899,11817
"49","16-12-III-CT1-1_S49","ct1",77.9245644265748,92.3076923076923,657572,413541,3867,0,49570,6473
"50","16-12-III-CT1-1b_S53","ct1",83.0557151062608,92.3076923076923,822726,513718,4467,8,69584,8822
"51","16-12-III-CT1-1br_S61","ct1",78.8052843193567,92.3076923076923,703226,442078,4067,0,54946,7310
"52","16-12-III-CT1-1r_S57","ct1",85.8318973769864,92.3076923076923,884934,566713,5275,11,80333,10330
"53","16-12-III-CT1-2_S50","ct1",0.0957304231284702,0,10240,6267,52,0,11,6
"54","16-12-III-CT1-2b_S54","ct1",82.9982768523837,92.3076923076923,666108,413775,4894,0,51365,9157
"55","16-12-III-CT1-2br_S62","ct1",86.1573808156232,92.3076923076923,747312,463655,5006,11,60124,11018
"56","16-12-III-CT1-2r_S58","ct1",97.3004020677771,92.3076923076923,1423035,906293,9570,17,150562,24929
"57","16-12-III-CT1-3_S51","ct1",91.4225540876891,92.3076923076923,728968,462110,2845,0,57970,8996
"58","16-12-III-CT1-3b_S55","ct1",89.6419682174995,92.3076923076923,720229,454566,2585,0,56198,8464
"59","16-12-III-CT1-3br_S63","ct1",88.8378326632204,92.3076923076923,682978,434369,2545,0,52301,8235
"60","16-12-III-CT1-3r_S59","ct1",85.3532452613441,92.3076923076923,608743,381808,2409,0,44540,7031
"61","16-12-III-CT1-4_S52","ct1",80.8730614589316,92.3076923076923,663576,425054,4123,0,52557,6871
"62","16-12-III-CT1-4b_S56","ct1",86.2914034080031,92.3076923076923,859830,537950,5465,0,74377,9458
"63","16-12-III-CT1-4br_S64","ct1",77.1970132107984,92.3076923076923,628711,402325,3953,5,48174,5844
"64","16-12-III-CT1-4r_S60","ct1",81.5048822515795,92.3076923076923,689932,437580,4239,5,53374,6780
"65","16-5-O3-1_S9","odd3",63.7835353999505,38.4615384615385,6526111,4782432,2376,9624,706649,86868
"66","16-5-O3-1b_S13","odd3",73.5233819942738,42.3076923076923,6269989,4569568,2386,8452,649844,80972
"67","16-5-O3-1br_S37","odd3",77.7385034109788,46.1538461538462,6796403,4953922,2375,9917,724529,89848
"68","16-5-O3-1r_S33","odd3",72.6944964829805,38.4615384615385,7664582,5596091,2808,12990,881419,111687
"69","16-5-O3-2_S10","odd3",74.6933653812166,53.8461538461538,6297758,4565028,1653,7387,640081,91400
"70","16-5-O3-2b_S14","odd3",74.4848184935138,53.8461538461538,6153642,4455505,1685,8229,621139,92856
"71","16-5-O3-2br_S38","odd3",84.790215969743,69.2307692307692,8257149,5985296,2042,14732,973053,152243
"72","16-5-O3-2r_S34","odd3",82.1498002898448,50,7640601,5529651,2058,10761,855171,128555
"73","16-5-O3-3_S11","odd3",80.8225230638719,50,7268512,5245770,981,11854,812475,112181
"74","16-5-O3-3b_S15","odd3",79.8928988017391,38.4615384615385,6137943,4446757,826,8079,611383,79273
"75","16-5-O3-3br_S39","odd3",83.7015305220742,42.3076923076923,6802923,4908117,857,8478,705941,92858
"76","16-5-O3-3r_S35","odd3",83.669718284967,46.1538461538462,7631043,5513228,923,12970,868113,120306
"77","16-5-O3-4_S12","odd3",70.3492276695769,42.3076923076923,7068866,5147756,1676,12554,812218,109938
"78","16-5-O3-4b_S16","odd3",68.4846771057934,42.3076923076923,6266184,4581607,1676,10263,673569,87322
"79","16-5-O3-4br_S40","odd3",97.1015517302322,92.3076923076923,16996668,12462792,4613,60099,2666241,424276
"80","16-5-O3-4r_S36","odd3",71.5793008377222,46.1538461538462,6825009,4964948,1681,11666,756878,97164
"81","18-5-O3-1_S1","odd3",67.9226609168994,38.4615384615385,6364854,4657905,2404,7385,626952,66469
"82","18-5-O3-1b_S5","odd3",60.6093810752536,26.9230769230769,6263272,4571642,2684,6805,628747,68112
"83","18-5-O3-1br_S29","odd3",71.9257007528896,34.6153846153846,7509953,5493572,3012,10613,812811,92369
"84","18-5-O3-1r_S25","odd3",76.3422996712736,42.3076923076923,7629893,5553851,2974,10152,804667,89253
"85","18-5-O3-2_S2","odd3",66.5512000282775,53.8461538461538,5897938,4255586,1836,6269,584173,86737
"86","18-5-O3-2b_S6","odd3",76.5614506380121,53.8461538461538,7426735,5359058,2072,9132,800516,116566
"87","18-5-O3-2br_S30","odd3",78.2227563536107,50,7301669,5293424,1838,10858,813039,123108
"88","18-5-O3-2r_S26","odd3",88.6730762433283,69.2307692307692,9661384,6991040,2342,16675,1152328,170103
"89","18-5-O3-3_S3","odd3",76.1408221695946,38.4615384615385,6416727,4649048,754,6744,632350,80782
"90","18-5-O3-3b_S7","odd3",78.7229154147962,46.1538461538462,6766547,4892511,867,8181,705887,95081
"91","18-5-O3-3br_S31","odd3",83.7351101056873,46.1538461538462,7207300,5206769,957,8771,755137,98726
"92","18-5-O3-3r_S27","odd3",83.0476123148705,50,7673886,5550788,964,10168,826161,110688
"93","18-5-O3-4_S4","odd3",68.018097628221,46.1538461538462,6309502,4619809,1687,7016,619736,74037
"94","18-5-O3-4b_S8","odd3",67.3871549255947,42.3076923076923,7251267,5287668,2034,11019,807142,104993
"95","18-5-O3-4br_S32","odd3",78.933229649005,50,8759375,6403656,2294,16378,1038475,138577
"96","18-5-O3-4r_S28","odd3",79.3079071082677,53.8461538461538,7903873,5775183,1892,11763,857855,108239
"97","26-10-E1-1_S9","even1",53.008118295158,30.7692307692308,6457090,4581369,3589,7676,1005510,132218
"98","26-10-E1-1b_S13","even1",53.1077848651783,38.4615384615385,6101311,4313421,3417,6582,926228,119883
"99","26-10-E1-1br_S37","even1",50.8806900550884,38.4615384615385,5812823,4099602,3208,6375,872149,111989
"100","26-10-E1-1r_S33","even1",54.7332560162366,38.4615384615385,7357350,5198070,4204,9922,1198349,161263
"101","26-10-E1-2_S10","even1",68.0324006958539,46.1538461538462,5297632,3587562,1531,30007,640987,90482
"102","26-10-E1-2b_S14","even1",76.0528414033053,53.8461538461538,5784043,4062541,2019,4699,750377,105913
"103","26-10-E1-2br_S38","even1",75.8661930994491,57.6923076923077,5679915,3985223,1936,4371,726750,101208
"104","26-10-E1-2r_S34","even1",69.3842418092201,57.6923076923077,5689579,3815340,1900,55170,709530,100490
"105","26-10-E1-3_S11","even1",78.7547115105828,57.6923076923077,6318997,4463375,1098,6022,891692,121357
"106","26-10-E1-3b_S15","even1",81.335169614381,50,5413583,3805183,1022,3156,642434,83051
"107","26-10-E1-3br_S39","even1",84.238184981154,46.1538461538462,6176600,4339444,1130,3926,784649,103240
"108","26-10-E1-3r_S35","even1",72.8453899681067,57.6923076923077,5128126,3608215,944,3910,649049,86922
"109","26-10-E1-4_S12","even1",51.2268048709771,46.1538461538462,6252220,4427432,1772,6857,967734,133111
"110","26-10-E1-4b_S16","even1",60.7603653232821,46.1538461538462,6965634,4930949,2106,8682,1077007,148031
"111","26-10-E1-4br_S40","even1",51.1633806900551,42.3076923076923,5235142,3702857,1518,4835,735281,96728
"112","26-10-E1-4r_S36","even1",47.8417657291969,50,5494465,3902155,1427,5408,813648,108352
"113","26-10-O3-1_S1","odd3",42.4092467569192,26.9230769230769,4624946,3319867,1827,11265,585081,94696
"114","26-10-O3-1b_S5","odd3",43.2063200311053,30.7692307692308,5536375,3945741,2271,17015,814552,140182
"115","26-10-O3-1br_S29","odd3",46.5996253225407,30.7692307692308,6012217,4286262,2359,19463,900745,156343
"116","26-10-O3-1r_S25","odd3",57.8629246049981,34.6153846153846,8176320,5852386,3519,29900,1272415,224714
"117","26-10-O3-2_S2","odd3",67.5002651019759,42.3076923076923,5686088,4037080,1441,17124,808643,151502
"118","26-10-O3-2b_S6","odd3",57.8629246049981,34.6153846153846,5558827,3934282,1406,25269,997920,209474
"119","26-10-O3-2br_S30","odd3",59.6832915061327,42.3076923076923,6282931,4446665,1553,29601,1149426,242384
"120","26-10-O3-2r_S26","odd3",72.0158354246934,42.3076923076923,7220628,5106743,1824,25897,1135228,221015
"121","26-10-O3-3_S3","odd3",76.1319854370648,50,5803361,4118891,893,14914,752005,127917
"122","26-10-O3-3b_S7","odd3",68.9035382277049,42.3076923076923,5330320,3781065,696,17500,735778,130693
"123","26-10-O3-3br_S31","odd3",72.4665087837121,46.1538461538462,6088184,4315078,792,21644,889076,161739
"124","26-10-O3-3r_S27","odd3",79.6737478350005,50,6846014,4840631,1115,20637,965933,168462
"125","26-10-O3-4_S4","odd3",45.7124173765508,42.3076923076923,5490530,3929508,1265,18147,806861,135684
"126","26-10-O3-4b_S8","odd3",43.4254709978438,38.4615384615385,5052705,3619577,1003,17490,708533,118462
"127","26-10-O3-4br_S32","odd3",48.5684493301757,38.4615384615385,6624339,4745589,1327,25687,1025630,178515
"128","26-10-O3-4r_S28","odd3",45.9404050758192,42.3076923076923,5464364,3898993,1195,17743,792988,134539
"129","27-10-E1-1_S17","even1",42.0792258625689,23.0769230769231,5966901,4221141,3362,6294,916714,119022
"130","27-10-E1-1b_S21","even1",45.3700347926935,38.4615384615385,5940213,4205982,4089,7443,978866,137440
"131","27-10-E1-1br_S45","even1",44.7285445056538,34.6153846153846,6005973,4237528,4551,7447,999318,140133
"132","27-10-E1-1r_S41","even1",42.9001159756451,30.7692307692308,6029008,4254499,3390,5927,917212,115578
"133","27-10-E1-2_S18","even1",64.1508408234271,57.6923076923077,6345819,4435987,2086,6995,985358,154728
"134","27-10-E1-2b_S22","even1",70.4751377210786,46.1538461538462,6666085,4687550,2407,8324,1068470,168770
"135","27-10-E1-2br_S46","even1",67.5286314873876,42.3076923076923,5905978,4132337,2386,6359,900850,142122
"136","27-10-E1-2r_S42","even1",66.6135111626559,46.1538461538462,7040070,4943825,1974,7896,1124306,175975
"137","27-10-E1-3_S19","even1",75.0235575529139,50,5982046,4204100,1178,5398,830739,115794
"138","27-10-E1-3b_S23","even1",85.6951290229052,57.6923076923077,9213073,6480824,1599,12469,1586750,241392
"139","27-10-E1-3br_S47","even1",79.7912438387939,53.8461538461538,6507284,4569527,1202,6707,967562,139911
"140","27-10-E1-3r_S43","even1",74.746303276312,50,6064540,4251847,1117,5590,848286,118242
"141","27-10-E1-4_S20","even1",43.7572484778197,42.3076923076923,5126605,3639605,1451,4911,730317,93412
"142","27-10-E1-4b_S24","even1",43.0758915627718,46.1538461538462,4103684,2909870,1560,3470,547911,75149
"143","27-10-E1-4br_S48","even1",51.5221803421282,50,6027898,4272696,2006,7238,926611,127930
"144","27-10-E1-4r_S44","even1",45.8883009567991,42.3076923076923,6050492,4286128,1649,6397,932627,122802
"145","27-10-O4-1_S1","odd4",46.8540700044651,34.6153846153846,6710610,4291706,2574,11982,968004,163173
"146","27-10-O4-1b_S5","odd4",37.0018054396148,23.0769230769231,7381578,4689709,3676,17898,1248322,228570
"147","27-10-O4-1br_S29","odd4",38.5393411116072,30.7692307692308,7806670,4972144,3901,19178,1330976,240017
"148","27-10-O4-1r_S25","odd4",49.0244802081109,30.7692307692308,7272663,4595652,2580,13228,1047290,177417
"149","27-10-O4-2_S2","odd4",57.8944303158549,46.1538461538462,4345095,2704500,1031,4532,498767,86929
"150","27-10-O4-2b_S6","odd4",58.6457261555784,34.6153846153846,7440785,4685616,1313,16699,1264155,244693
"151","27-10-O4-2br_S30","odd4",62.0857680883695,30.7692307692308,8869177,5622098,1500,21883,1590239,310317
"152","27-10-O4-2r_S26","odd4",71.6196540544738,57.6923076923077,7295182,4609547,1706,12436,1085013,198611
"153","27-10-O4-3_S3","odd4",71.8273766768263,23.0769230769231,5818220,3723464,575,7264,745853,121636
"154","27-10-O4-3b_S7","odd4",60.0163071965211,30.7692307692308,6595161,4200744,517,13747,1059372,184458
"155","27-10-O4-3br_S31","odd4",65.477276698181,42.3076923076923,8651521,5431968,699,20462,1462944,265281
"156","27-10-O4-3r_S27","odd4",82.6891343596513,50,9072977,5761479,911,16744,1387582,239407
"157","27-10-O4-4_S4","odd4",44.0604919337617,42.3076923076923,5531395,3562271,1146,8375,786787,127204
"158","27-10-O4-4b_S8","odd4",42.0337403661354,46.1538461538462,7325032,4610383,1535,13640,1125462,189286
"159","27-10-O4-4br_S32","odd4",46.4347420939217,46.1538461538462,8510785,5445221,1646,17809,1387480,236097
"160","27-10-O4-4r_S28","odd4",53.6021432315428,46.1538461538462,8498457,5420170,1610,18008,1355127,232679
"161","30-5-E1-1_S17","even1",80.6719338938823,57.6923076923077,6265477,4522829,3373,2268,688382,67345
"162","30-5-E1-1b_S21","even1",87.902290518991,73.0769230769231,7768628,5603623,4046,4451,973731,109709
"163","30-5-E1-1br_S45","even1",81.4511452594955,46.1538461538462,6664713,4813701,3475,3041,796173,86183
"164","30-5-E1-1r_S41","even1",84.9811539576689,57.6923076923077,7838424,5645591,4528,3980,978112,102036
"165","30-5-E1-2_S18","even1",91.609886923746,73.0769230769231,8289381,5972400,2846,4087,988489,123323
"166","30-5-E1-2b_S22","even1",87.4981878805451,80.7692307692308,6551515,4710596,2924,3179,771460,105404
"167","30-5-E1-2br_S46","even1",88.3516961438098,69.2307692307692,7276982,5225896,2506,3268,874598,113881
"168","30-5-E1-2r_S42","even1",86.8240794433169,69.2307692307692,7142389,5155535,2505,2690,816470,100975
"169","30-5-E1-3_S19","even1",90.000724847782,69.2307692307692,6957529,5008268,1447,2586,788874,91909
"170","30-5-E1-3b_S23","even1",90.783560452305,73.0769230769231,6429638,4604395,1737,2213,702423,84603
"171","30-5-E1-3br_S47","even1",96.3087126703392,84.6153846153846,9808636,7062024,2357,6136,1331273,168664
"172","30-5-E1-3r_S43","even1",86.927370252247,73.0769230769231,6454930,4643145,1525,2103,711580,84755
"173","30-5-E1-4_S20","even1",84.2128153087852,57.6923076923077,7372448,5335920,2627,3684,896322,103972
"174","30-5-E1-4b_S24","even1",80.974557842853,50,6703622,4855317,2423,4134,831499,99177
"175","30-5-E1-4br_S48","even1",80.4490432009278,57.6923076923077,6680237,4840601,2226,4007,818166,95673
"176","30-5-E1-4r_S44","even1",82.9606407654393,69.2307692307692,7602463,5505169,2676,4660,957226,113337
"177","7-12-E2-1_S9","even2",78.1181619256018,53.8461538461538,7007017,4830032,2998,7611,730953,85925
"178","7-12-E2-1b_S13","even2",74.8995424706584,30.7692307692308,6188846,4220261,2727,4772,579413,67103
"179","7-12-E2-1br_S37","even2",70.2387109608116,26.9230769230769,5877146,3996623,2601,5472,549312,64658
"180","7-12-E2-1r_S33","even2",81.8579669783171,50,7825490,5345368,3409,9932,856679,105536
"181","7-12-E2-2_S10","even2",84.6667992838671,69.2307692307692,6449832,4414495,2072,2536,546010,66062
"182","7-12-E2-2b_S14","even2",90.1253232544261,76.9230769230769,7619608,5188834,2493,4555,695349,87872
"183","7-12-E2-2br_S38","even2",88.6751541674955,73.0769230769231,7380579,4993453,2432,3959,662049,83796
"184","7-12-E2-2r_S34","even2",91.2552218022678,76.9230769230769,7981767,5444814,2528,4481,737182,91515
"185","7-12-E2-3_S11","even2",87.5094489755321,57.6923076923077,5988650,4081506,1239,2445,485565,58715
"186","7-12-E2-3b_S15","even2",89.8587626815198,61.5384615384615,6251306,4238026,1341,2307,505978,63199
"187","7-12-E2-3br_S39","even2",94.1197533320072,84.6153846153846,7685483,5178566,1529,4091,682776,82275
"188","7-12-E2-3r_S35","even2",92.170280485379,50,7180712,4868198,1286,4267,639184,79081
"189","7-12-E2-4_S12","even2",77.3463298189775,50,7045302,4827839,1613,6780,722126,95632
"190","7-12-E2-4b_S16","even2",78.6990252635767,46.1538461538462,6389744,4385963,1614,4191,605742,76291
"191","7-12-E2-4br_S40","even2",86.7177242888403,50,7914476,5446769,2122,7952,836138,108532
"192","7-12-E2-4r_S36","even2",81.6510841456137,42.3076923076923,8283230,5650564,1912,9978,921511,126706
"193","7-12-O4-1_S1","odd4",53.5458445768865,23.0769230769231,5742484,3831608,2369,3674,650834,74257
"194","7-12-O4-1b_S5","odd4",63.1496185280814,19.2307692307692,6106366,4095680,2714,4124,702678,83995
"195","7-12-O4-1br_S29","odd4",68.5115800508629,26.9230769230769,6707099,4470888,3564,5853,823724,110327
"196","7-12-O4-1r_S25","odd4",72.633029838287,26.9230769230769,8245346,5485505,3269,8275,1060449,131065
"197","7-12-O4-2_S2","odd4",55.3376948612918,26.9230769230769,3484592,2288081,1261,1001,268805,33034
"198","7-12-O4-2b_S6","odd4",72.9669391003863,42.3076923076923,5787316,3850574,1724,1782,581186,71779
"199","7-12-O4-2br_S30","odd4",76.3778610393896,42.3076923076923,6054350,4027811,1831,2793,630629,79494
"200","7-12-O4-2r_S26","odd4",87.7657199433131,53.8461538461538,8922448,5868625,2694,7756,1066135,132805
"201","7-12-O4-3_S3","odd4",84.1878433732601,38.4615384615385,6424592,4290642,820,2095,672786,80122
"202","7-12-O4-3b_S7","odd4",86.4320242278348,50,6906225,4610955,1002,2700,748200,91845
"203","7-12-O4-3br_S31","odd4",88.1772825221797,61.5384615384615,7437673,4937482,1038,3012,827094,100371
"204","7-12-O4-3r_S27","odd4",84.9119605521151,50,6624558,4384274,928,2113,691379,81697
"205","7-12-O4-4_S4","odd4",56.6364465842247,42.3076923076923,5707280,3836446,1015,3442,659139,76044
"206","7-12-O4-4b_S8","odd4",68.1252547999457,46.1538461538462,7436539,4976019,976,6507,957353,116891
"207","7-12-O4-4br_S32","odd4",75.2111199549611,46.1538461538462,8534318,5726785,1136,8330,1156762,145423
"208","7-12-O4-4r_S28","odd4",62.4585040088525,42.3076923076923,6215670,4139027,918,3958,722975,84819
"209","8-12-E2-1_S9","even2",69.93236522777,46.1538461538462,6622050,4367609,3128,3888,584175,65341
"210","8-12-E2-1b_S13","even2",71.7624825939924,42.3076923076923,7157045,4637557,2995,4288,624146,72053
"211","8-12-E2-1br_S37","even2",50.7419932365228,30.7692307692308,4268219,2754226,1768,773,290119,30303
"212","8-12-E2-1r_S33","even2",70.9826934553412,53.8461538461538,6789239,4374165,2840,3897,578847,66731
"213","8-12-E2-2_S10","even2",76.0175054704595,53.8461538461538,5677636,3702949,1655,1398,419814,52913
"214","8-12-E2-2b_S14","even2",76.7754127710364,61.5384615384615,6011089,3853218,1678,1792,448248,57370
"215","8-12-E2-2br_S38","even2",81.5357071812214,53.8461538461538,6778148,4360239,1881,2179,533597,68720
"216","8-12-E2-2r_S34","even2",83.9168490153173,61.5384615384615,7167619,4561726,1982,2717,566800,73208
"217","8-12-E2-3_S11","even2",79.0232743186791,65.3846153846154,6109196,3941114,1062,1970,460081,58161
"218","8-12-E2-3b_S15","even2",87.4716530734036,65.3846153846154,7494214,4866222,1399,3071,628886,81243
"219","8-12-E2-3br_S39","even2",82.8804455937935,69.2307692307692,6590236,4173005,1125,1887,483713,61925
"220","8-12-E2-3r_S35","even2",82.8466282076785,61.5384615384615,6755131,4336028,1268,2284,524491,68016
"221","8-12-E2-4_S12","even2",70.8792520389895,50,7484411,4839938,1937,5563,692971,91245
"222","8-12-E2-4b_S16","even2",76.3357867515417,46.1538461538462,7633920,4955945,1920,5267,706683,91841
"223","8-12-E2-4br_S40","even2",75.677342351303,50,7099199,4690478,1882,4289,651269,85293
"224","8-12-E2-4r_S36","even2",77.9749353491148,61.5384615384615,8321066,5366444,2302,6590,791767,109231
"225","8-12-O4-1_S17","odd4",62.8836559181534,19.2307692307692,5251124,3519634,2274,1534,505927,53330
"226","8-12-O4-1b_S21","odd4",73.1047737376483,19.2307692307692,6695721,4493327,2830,2902,729174,78152
"227","8-12-O4-1br_S45","odd4",82.706606355924,26.9230769230769,7843784,5242694,3340,4553,892293,99939
"228","8-12-O4-1r_S41","odd4",79.9965056007455,19.2307692307692,7587177,5057682,2831,3705,841928,93029
"229","8-12-O4-2_S18","odd4",79.9227349498165,53.8461538461538,6531561,4322658,1606,2002,673486,82967
"230","8-12-O4-2b_S22","odd4",72.675739162509,38.4615384615385,5373528,3551299,1409,1026,507805,63432
"231","8-12-O4-2br_S46","odd4",84.0305954068063,46.1538461538462,6892494,4530006,1793,2794,731211,93505
"232","8-12-O4-2r_S42","odd4",88.7422104016618,50,7775146,5189019,1797,2962,847884,104899
"233","8-12-O4-3_S19","odd4",76.5914076604997,23.0769230769231,5825195,3865488,727,1684,576408,66957
"234","8-12-O4-3b_S23","odd4",79.1034924579216,26.9230769230769,5883732,3860085,787,1138,562131,63974
"235","8-12-O4-3br_S47","odd4",91.9201723903632,46.1538461538462,8279121,5508654,1201,2947,920876,107903
"236","8-12-O4-3r_S43","odd4",83.718040806818,38.4615384615385,6476569,4312592,893,1775,652628,76175
"237","8-12-O4-4_S20","odd4",61.3791229057871,42.3076923076923,5770214,3856718,1074,2030,628328,68371
"238","8-12-O4-4b_S24","odd4",71.7011900370795,42.3076923076923,6658994,4451220,1184,2863,741348,82022
"239","8-12-O4-4br_S48","odd4",56.0346333792782,42.3076923076923,4120844,2760088,740,504,358560,38456
"240","8-12-O4-4r_S44","odd4",75.9002931412708,42.3076923076923,7668024,5089802,1558,4206,914785,107332
